name, size, width, height
P_PF_Tatakoto_Island_l8.jpg,"(504, 145)",145,504
P_PF_Tauere_Atoll_l64.jpg,"(299, 287)",287,299
P_PF_Tauere_Atoll_l8.jpg,"(299, 287)",287,299
P_PF_Tematangi_Island_l64.jpg,"(468, 413)",413,468
P_PF_Tematangi_Island_l8.jpg,"(468, 413)",413,468
P_PF_Temoe_Atoll_l64 (1).jpg,"(213, 238)",238,213
P_PF_Temoe_Atoll_l64.jpg,"(213, 238)",238,213
P_PF_Temoe_Atoll_l8.jpg,"(213, 238)",238,213
P_PF_Tepoto_Sud_Atoll_l64.jpg,"(276, 254)",254,276
P_PF_Tepoto_Sud_Atoll_l8.jpg,"(276, 254)",254,276
P_PF_Tetiaroa_Atoll_l64.jpg,"(283, 275)",275,283
P_PF_Tetiaroa_Atoll_l8.jpg,"(283, 275)",275,283
P_PF_Tikehau_Atoll_l64.jpg,"(1387, 1359)",1359,1387
P_PF_Tikehau_Atoll_l8.jpg,"(1387, 1359)",1359,1387
P_PF_Toau_Atoll_l64.jpg,"(2080, 1529)",1529,2080
P_PF_Toau_Atoll_l8.jpg,"(2080, 1529)",1529,2080
P_PF_Tuanake_Atoll_l64.jpg,"(449, 361)",361,449
P_PF_Tuanake_Atoll_l8.jpg,"(449, 361)",361,449
P_PF_Tupai_Atoll_l64.jpg,"(256, 313)",313,256
P_PF_Tupai_Atoll_l8.jpg,"(256, 313)",313,256
P_PF_Tureia_Atoll_l64.jpg,"(327, 465)",465,327
P_PF_Tureia_Atoll_l8.jpg,"(327, 465)",465,327
P_PF_Vahanga_Atoll_l64.jpg,"(165, 144)",144,165
P_PF_Vahanga_Atoll_l8.jpg,"(165, 144)",144,165
P_PF_Vahitahi_Atoll_l64.jpg,"(313, 118)",118,313
P_PF_Vahitahi_Atoll_l8.jpg,"(313, 118)",118,313
P_PF_Vairaatea_Atoll_l64.jpg,"(265, 175)",175,265
P_PF_Vairaatea_Atoll_l8.jpg,"(265, 175)",175,265
P_PG_Awin_Atoll_l64.jpg,"(165, 130)",130,165
P_PG_Awin_Atoll_l8.jpg,"(165, 130)",130,165
P_PG_Budibudi_Atol_l64.jpg,"(281, 264)",264,281
P_PG_Budibudi_Atol_l8.jpg,"(281, 264)",264,281
P_PG_Conflict_Atoll_l64.jpg,"(1058, 512)",512,1058
P_PG_Conflict_Atoll_l8.jpg,"(1058, 512)",512,1058
P_PG_Duperre_Islets_l64.jpg,"(706, 447)",447,706
P_PG_Duperre_Islets_l8.jpg,"(706, 447)",447,706
P_PG_Heina_Atoll_l64.jpg,"(171, 151)",151,171
P_PG_Heina_Atoll_l8.jpg,"(171, 151)",151,171
P_PG_Liot_Atoll_l64.jpg,"(112, 121)",121,112
P_PG_Liot_Atoll_l8.jpg,"(112, 121)",121,112
P_PG_Ninigo_Atoll_l64.jpg,"(972, 1060)",1060,972
P_PG_Ninigo_Atoll_l8.jpg,"(972, 1060)",1060,972
P_PG_Palawat_Islands_l64.jpg,"(167, 191)",191,167
P_PG_Palawat_Islands_l8.jpg,"(167, 191)",191,167
P_PG_Pelleluhu_Islands_l64.jpg,"(314, 412)",412,314
P_PG_Pelleluhu_Islands_l8.jpg,"(314, 412)",412,314
P_PG_Pinipel_Atoll_l64.jpg,"(222, 372)",372,222
P_PG_Pinipel_Atoll_l8.jpg,"(222, 372)",372,222
P_PG_Sama_Atoll_l64.jpg,"(106, 158)",158,106
P_PG_Sama_Atoll_l8.jpg,"(106, 158)",158,106
P_PG_Samasuma_Atoll_l64.jpg,"(155, 206)",206,155
P_PG_Samasuma_Atoll_l8.jpg,"(155, 206)",206,155
P_PH_Sibutu_Group_l64.jpg,"(613, 1732)",1732,613
P_PH_Sibutu_Group_l8.jpg,"(613, 1732)",1732,613
P_PW_Kayangel_Atoll_l64.jpg,"(181, 263)",263,181
P_PW_Kayangel_Atoll_l8.jpg,"(181, 263)",263,181
P_TV_Nanumea_Atoll_l64.jpg,"(369, 290)",290,369
P_TV_Nanumea_Atoll_l8.jpg,"(369, 290)",290,369
P_TV_Nui_Atoll_l64.jpg,"(128, 285)",285,128
P_TV_Nui_Atoll_l8.jpg,"(128, 285)",285,128
P_TV_Nukufetau_Atoll_l64.jpg,"(556, 608)",608,556
P_TV_Nukufetau_Atoll_l8.jpg,"(556, 608)",608,556
P_TV_Nukulaelae_Atoll_l64.jpg,"(301, 364)",364,301
P_TV_Nukulaelae_Atoll_l8.jpg,"(301, 364)",364,301
P_TV_Vaitupu_Atoll_l64.jpg,"(169, 180)",180,169
P_TV_Vaitupu_Atoll_l8.jpg,"(169, 180)",180,169
